"VarName";"TimeString";"VarValue";"Validity";"Time_ms"
"variables supervision_VITESSE VENT";"04/06/2024 19:56:13";62;1;45447830711,3194
"DATA_METEO_Static_1{16}";"04/06/2024 19:56:13";181;1;45447830711,3194
"variables supervision_IRRADIATION";"04/06/2024 19:57:13";0;1;45447831405,1968
"DATA LOGGER_VALUE{0}";"04/06/2024 19:57:13";233;1;45447831405,1968
"DATA LOGGER_VALUE{1}";"04/06/2024 19:57:13";263;1;45447831405,1968
"DATA LOGGER_VALUE{5}";"04/06/2024 19:57:13";603;1;45447831405,1968
"variables supervision_ANGLE VENT";"04/06/2024 19:57:13";236;1;45447831405,1968
"variables supervision_VITESSE VENT";"04/06/2024 19:57:13";62;1;45447831405,1968
"DATA_METEO_Static_1{16}";"04/06/2024 19:57:13";176;1;45447831405,1968
"variables supervision_IRRADIATION";"04/06/2024 19:58:13";0;1;45447832100,3356
"DATA LOGGER_VALUE{0}";"04/06/2024 19:58:13";233;1;45447832100,3356
"DATA LOGGER_VALUE{1}";"04/06/2024 19:58:13";260;1;45447832100,3356
"DATA LOGGER_VALUE{5}";"04/06/2024 19:58:13";601;1;45447832100,3356
"variables supervision_ANGLE VENT";"04/06/2024 19:58:13";221;1;45447832100,3356
"variables supervision_VITESSE VENT";"04/06/2024 19:58:13";43;1;45447832100,3356
"DATA_METEO_Static_1{16}";"04/06/2024 19:58:13";156;1;45447832100,3356
"variables supervision_IRRADIATION";"04/06/2024 19:59:13";0;1;45447832794,2245
"DATA LOGGER_VALUE{0}";"04/06/2024 19:59:13";233;1;45447832794,2245
"DATA LOGGER_VALUE{1}";"04/06/2024 19:59:13";260;1;45447832794,2245
"DATA LOGGER_VALUE{5}";"04/06/2024 19:59:13";601;1;45447832794,2245
"variables supervision_ANGLE VENT";"04/06/2024 19:59:13";221;1;45447832794,2245
"variables supervision_VITESSE VENT";"04/06/2024 19:59:13";43;1;45447832794,2245
"DATA_METEO_Static_1{16}";"04/06/2024 19:59:13";156;1;45447832794,2245
"variables supervision_IRRADIATION";"04/06/2024 20:00:13";0;1;45447833488,2176
"DATA LOGGER_VALUE{0}";"04/06/2024 20:00:13";233;1;45447833488,2176
"DATA LOGGER_VALUE{1}";"04/06/2024 20:00:13";260;1;45447833488,2176
"DATA LOGGER_VALUE{5}";"04/06/2024 20:00:13";601;1;45447833488,2176
"variables supervision_ANGLE VENT";"04/06/2024 20:00:13";221;1;45447833488,2176
"variables supervision_VITESSE VENT";"04/06/2024 20:00:13";43;1;45447833488,2176
"DATA_METEO_Static_1{16}";"04/06/2024 20:00:13";156;1;45447833488,2176
"variables supervision_IRRADIATION";"04/06/2024 20:01:13";0;1;45447834183,2755
"DATA LOGGER_VALUE{0}";"04/06/2024 20:01:13";233;1;45447834183,2755
"DATA LOGGER_VALUE{1}";"04/06/2024 20:01:13";260;1;45447834183,2755
"DATA LOGGER_VALUE{5}";"04/06/2024 20:01:13";601;1;45447834183,2755
"variables supervision_ANGLE VENT";"04/06/2024 20:01:13";221;1;45447834183,2755
"variables supervision_VITESSE VENT";"04/06/2024 20:01:13";43;1;45447834183,2755
"DATA_METEO_Static_1{16}";"04/06/2024 20:01:13";156;1;45447834183,2755
"variables supervision_IRRADIATION";"04/06/2024 20:02:13";0;1;45447834877,2569
"DATA LOGGER_VALUE{0}";"04/06/2024 20:02:13";233;1;45447834877,2569
"DATA LOGGER_VALUE{1}";"04/06/2024 20:02:13";260;1;45447834877,2569
"DATA LOGGER_VALUE{5}";"04/06/2024 20:02:13";601;1;45447834877,2569
"variables supervision_ANGLE VENT";"04/06/2024 20:02:13";221;1;45447834877,2569
"variables supervision_VITESSE VENT";"04/06/2024 20:02:13";43;1;45447834877,2569
"DATA_METEO_Static_1{16}";"04/06/2024 20:02:13";156;1;45447834877,2569
"variables supervision_IRRADIATION";"04/06/2024 20:03:13";0;1;45447835572,2801
